id,group,group_dummy,Y0,Y1
1,treatment,1,2,3.2
2,control,0,7,8
3,treatment,1,3,5.2
4,treatment,1,3,6.2
5,control,0,4,6
6,treatment,1,8,10.2
7,treatment,1,10,12.2
8,treatment,1,5,6.2
9,control,0,6,8
10,control,0,7,10
11,treatment,1,2,4.2
12,treatment,1,5,8.2
13,treatment,1,11,12.2
14,treatment,1,11,13.2
15,treatment,1,7,10.2
16,control,0,9,10
17,control,0,4,5
18,control,0,5,6
19,control,0,3,5
20,treatment,1,8,11.2
21,treatment,1,7,10.2
22,treatment,1,6,7.2
23,treatment,1,2,5.2
24,treatment,1,8,11.2
25,treatment,1,6,9.2
26,treatment,1,7,10.2
27,control,0,3,5
28,treatment,1,5,6.2
29,treatment,1,5,6.2
30,control,0,9,11
31,control,0,9,12
32,control,0,7,8
33,treatment,1,7,9.2
34,control,0,10,13
35,treatment,1,7,10.2
36,treatment,1,8,9.2
37,control,0,5,7
38,treatment,1,6,9.2
39,control,0,5,7
40,control,0,3,6
41,control,0,3,6
42,control,0,10,13
43,treatment,1,7,8.2
44,control,0,8,11
45,control,0,1,2
46,control,0,8,10
47,control,0,10,12
48,control,0,1,3
49,treatment,1,6,9.2
50,treatment,1,6,9.2
51,control,0,6,7
52,treatment,1,2,3.2
53,control,0,10,13
54,control,0,6,7
55,treatment,1,2,4.2
56,treatment,1,11,14.2
57,control,0,8,10
58,control,0,4,7
59,control,0,5,8
60,treatment,1,9,11.2
61,treatment,1,10,12.2
62,control,0,8,11
63,control,0,10,13
64,control,0,3,4
65,control,0,1,2
66,control,0,3,4
67,control,0,8,9
68,treatment,1,8,10.2
69,control,0,7,8
70,control,0,8,11
71,control,0,5,7
72,control,0,8,9
73,treatment,1,8,10.2
74,treatment,1,5,8.2
75,treatment,1,4,7.2
76,control,0,6,7
77,control,0,3,4
78,treatment,1,10,11.2
79,treatment,1,9,10.2
80,control,0,2,3
81,control,0,1,4
82,control,0,2,4
83,treatment,1,6,8.2
84,treatment,1,11,12.2
85,treatment,1,6,8.2
86,control,0,3,5
87,treatment,1,7,8.2
88,control,0,5,6
89,treatment,1,9,12.2
90,control,0,2,5
91,treatment,1,10,11.2
92,treatment,1,3,6.2
93,control,0,10,13
94,control,0,2,5
95,treatment,1,9,12.2
96,treatment,1,5,8.2
97,treatment,1,5,7.2
98,control,0,8,11
99,control,0,3,5
100,treatment,1,10,13.2
101,control,0,2,5
102,control,0,4,5
103,control,0,8,11
104,treatment,1,4,5.2
105,treatment,1,7,8.2
106,treatment,1,7,8.2
107,treatment,1,8,9.2
108,control,0,7,8
109,treatment,1,9,10.2
110,treatment,1,3,5.2
111,treatment,1,9,12.2
112,treatment,1,5,7.2
113,treatment,1,5,6.2
114,control,0,3,6
115,control,0,5,8
116,control,0,9,12
117,control,0,7,9
118,treatment,1,10,12.2
119,control,0,9,10
120,control,0,2,3
121,control,0,7,8
122,control,0,9,12
123,treatment,1,5,8.2
124,treatment,1,9,12.2
125,control,0,8,10
126,treatment,1,8,9.2
127,treatment,1,2,4.2
128,control,0,2,5
129,control,0,3,4
130,treatment,1,3,4.2
131,treatment,1,8,11.2
132,treatment,1,2,3.2
133,control,0,10,13
134,treatment,1,4,6.2
135,control,0,9,12
136,treatment,1,8,11.2
137,control,0,3,6
138,control,0,3,6
139,control,0,4,5
140,treatment,1,10,12.2
141,control,0,3,6
142,treatment,1,3,6.2
143,treatment,1,6,8.2
144,control,0,10,12
145,treatment,1,6,9.2
146,control,0,3,6
147,control,0,3,4
148,control,0,1,3
149,treatment,1,3,5.2
150,treatment,1,9,11.2
151,control,0,2,5
152,treatment,1,11,12.2
153,treatment,1,9,10.2
154,treatment,1,2,3.2
155,treatment,1,3,6.2
156,control,0,8,10
157,control,0,3,4
158,control,0,10,13
159,control,0,6,9
160,control,0,1,2
161,treatment,1,7,8.2
162,treatment,1,10,13.2
163,treatment,1,7,10.2
164,control,0,5,7
165,treatment,1,3,6.2
166,treatment,1,8,11.2
167,control,0,1,4
168,treatment,1,2,5.2
169,treatment,1,7,10.2
170,control,0,8,9
171,treatment,1,6,7.2
172,treatment,1,4,6.2
173,control,0,1,3
174,treatment,1,4,5.2
175,treatment,1,9,12.2
176,control,0,10,13
177,control,0,1,4
178,control,0,5,6
179,control,0,6,7
180,treatment,1,4,6.2
181,control,0,8,10
182,treatment,1,5,7.2
183,treatment,1,5,8.2
184,treatment,1,10,12.2
185,treatment,1,11,12.2
186,treatment,1,8,10.2
187,control,0,4,6
188,treatment,1,6,8.2
189,control,0,8,10
190,treatment,1,9,12.2
191,treatment,1,4,5.2
192,control,0,1,2
193,treatment,1,9,11.2
194,control,0,5,6
195,control,0,4,7
196,control,0,3,5
197,treatment,1,5,6.2
198,control,0,5,8
199,treatment,1,2,3.2
200,treatment,1,3,6.2
201,control,0,1,4
202,control,0,4,7
203,treatment,1,8,9.2
204,control,0,10,13
205,control,0,3,6
206,control,0,1,2
207,treatment,1,7,8.2
208,treatment,1,6,9.2
209,control,0,5,6
210,treatment,1,9,10.2
211,treatment,1,6,7.2
212,treatment,1,8,10.2
213,treatment,1,8,9.2
214,control,0,4,7
215,treatment,1,2,3.2
216,treatment,1,3,5.2
217,treatment,1,9,11.2
218,control,0,4,7
219,control,0,10,13
220,treatment,1,3,6.2
221,control,0,8,11
222,control,0,2,3
223,control,0,1,3
224,control,0,10,11
225,control,0,8,11
226,treatment,1,6,7.2
227,control,0,8,11
228,treatment,1,6,7.2
229,treatment,1,7,8.2
230,control,0,1,2
231,treatment,1,7,8.2
232,treatment,1,6,9.2
233,treatment,1,11,12.2
234,treatment,1,7,9.2
235,treatment,1,4,6.2
236,control,0,4,6
237,control,0,9,12
238,control,0,8,9
239,control,0,5,8
240,control,0,7,10
241,control,0,2,5
242,control,0,1,4
243,treatment,1,4,5.2
244,control,0,8,10
245,treatment,1,9,12.2
246,control,0,9,11
247,treatment,1,9,12.2
248,control,0,10,13
249,treatment,1,8,9.2
250,control,0,1,4
251,treatment,1,6,9.2
252,control,0,1,2
253,treatment,1,8,11.2
254,treatment,1,7,9.2
255,treatment,1,10,12.2
256,treatment,1,6,9.2
257,control,0,10,12
258,treatment,1,8,11.2
259,treatment,1,3,5.2
260,control,0,1,2
261,control,0,3,5
